Formula, something, somethingelse,Formula_mono_iso_wt_nat
C20H28N2O5S,13,14,428.2389895
C20H28N2O5S,12,15,410.1659625
C20H28N2O5S,13,15,430.2330593
C27H34O16,12,14,614.184685
C27H34O16,13,14,641.2752657
C27H34O16,12,15,614.184685
C27H34O16,13,15,641.2752657
C4H8N4O4,12,14,176.0545548
C4H8N4O4,13,14,180.0679741
C4H8N4O4,12,15,180.0426943
C4H8N4O4,13,15,184.0561137
C15H9I3O5,12,14,649.7584024
C15H9I3O5,13,14,664.808725
C15H9I3O5,12,15,649.7584024
C15H9I3O5,13,15,664.808725
C11H17N2+,12,14,177.138625
